,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
176,2014-05-24,W,9.0,14.0,0.643,1.0,2.0,7.0,9.0,5.0,7.0,3.0,0.0,6.0,26.0,22.0,24.0
177,2014-05-26,W,13.0,21.0,0.619,2.0,3.0,4.0,4.0,10.0,5.0,2.0,0.0,2.0,32.0,27.8,10.0
178,2014-05-28,L,2.0,10.0,0.2,1.0,3.0,2.0,3.0,2.0,4.0,0.0,1.0,3.0,7.0,-0.1,1.0
179,2014-05-30,W,8.0,12.0,0.667,0.0,0.0,9.0,9.0,4.0,6.0,1.0,1.0,2.0,25.0,24.9,27.0
181,2014-06-05,L,9.0,17.0,0.529,2.0,3.0,5.0,6.0,6.0,3.0,3.0,0.0,4.0,25.0,20.0,0.0
182,2014-06-08,W,14.0,22.0,0.636,3.0,3.0,4.0,5.0,10.0,3.0,2.0,0.0,4.0,35.0,27.5,11.0
183,2014-06-10,L,9.0,14.0,0.643,2.0,4.0,2.0,3.0,5.0,7.0,5.0,0.0,7.0,22.0,18.2,-21.0
184,2014-06-12,L,10.0,17.0,0.588,4.0,8.0,4.0,6.0,8.0,2.0,0.0,0.0,3.0,28.0,20.1,-21.0
185,2014-06-15,L,10.0,21.0,0.47600000000000003,3.0,9.0,8.0,9.0,10.0,5.0,0.0,2.0,1.0,31.0,26.8,-16.0
187,2015-04-19,W,8.0,18.0,0.444,1.0,3.0,3.0,4.0,6.0,7.0,2.0,1.0,5.0,20.0,13.8,3.0
188,2015-04-21,W,11.0,22.0,0.5,1.0,5.0,7.0,8.0,9.0,7.0,0.0,2.0,6.0,30.0,20.8,11.0
189,2015-04-23,W,13.0,26.0,0.5,1.0,5.0,4.0,5.0,11.0,4.0,4.0,2.0,2.0,31.0,27.1,0.0
190,2015-04-26,W,10.0,24.0,0.41700000000000004,1.0,7.0,6.0,10.0,10.0,8.0,3.0,1.0,6.0,27.0,18.1,7.0
192,2015-05-04,L,9.0,22.0,0.409,0.0,3.0,1.0,2.0,15.0,9.0,3.0,1.0,6.0,19.0,15.3,-11.0
193,2015-05-06,W,13.0,29.0,0.44799999999999995,0.0,2.0,7.0,9.0,8.0,5.0,2.0,1.0,2.0,33.0,24.1,31.0
194,2015-05-08,L,8.0,25.0,0.32,1.0,7.0,10.0,11.0,8.0,14.0,1.0,1.0,7.0,27.0,18.4,1.0
195,2015-05-10,W,10.0,30.0,0.33299999999999996,1.0,7.0,4.0,4.0,14.0,8.0,1.0,2.0,8.0,25.0,11.4,5.0
196,2015-05-12,W,14.0,24.0,0.583,1.0,5.0,9.0,12.0,12.0,6.0,3.0,3.0,0.0,38.0,38.1,-4.0
197,2015-05-14,W,7.0,23.0,0.304,0.0,4.0,1.0,2.0,9.0,11.0,0.0,2.0,4.0,15.0,7.9,20.0
199,2015-05-20,W,12.0,26.0,0.462,0.0,1.0,7.0,8.0,8.0,6.0,1.0,0.0,4.0,31.0,20.0,3.0
200,2015-05-22,W,10.0,22.0,0.455,2.0,7.0,8.0,11.0,9.0,11.0,0.0,1.0,4.0,30.0,24.5,18.0
201,2015-05-24,W,14.0,37.0,0.37799999999999995,1.0,6.0,8.0,10.0,18.0,13.0,3.0,0.0,6.0,37.0,29.0,-3.0
202,2015-05-26,W,10.0,20.0,0.5,2.0,6.0,1.0,4.0,9.0,7.0,2.0,1.0,1.0,23.0,20.3,20.0
204,2015-06-04,L,18.0,38.0,0.474,2.0,8.0,6.0,10.0,8.0,6.0,0.0,0.0,4.0,44.0,24.8,-3.0
205,2015-06-07,W,11.0,35.0,0.314,3.0,6.0,14.0,18.0,16.0,11.0,1.0,1.0,3.0,39.0,28.9,0.0
206,2015-06-09,W,14.0,34.0,0.41200000000000003,2.0,6.0,10.0,12.0,12.0,8.0,4.0,2.0,4.0,40.0,31.6,7.0
207,2015-06-11,L,7.0,22.0,0.318,1.0,4.0,5.0,10.0,12.0,8.0,0.0,0.0,2.0,20.0,11.4,-15.0
208,2015-06-14,L,15.0,34.0,0.441,3.0,8.0,7.0,9.0,14.0,11.0,1.0,0.0,2.0,40.0,30.7,-11.0
209,2015-06-16,L,13.0,33.0,0.39399999999999996,2.0,10.0,4.0,8.0,18.0,9.0,2.0,0.0,6.0,32.0,20.2,-3.0
211,2016-04-17,W,9.0,17.0,0.529,0.0,3.0,4.0,4.0,6.0,11.0,2.0,2.0,1.0,22.0,24.8,18.0
212,2016-04-20,W,12.0,18.0,0.667,2.0,4.0,1.0,3.0,6.0,3.0,3.0,0.0,5.0,27.0,19.5,10.0
213,2016-04-22,W,8.0,24.0,0.33299999999999996,1.0,6.0,3.0,5.0,13.0,7.0,0.0,1.0,5.0,20.0,9.7,17.0
214,2016-04-24,W,9.0,19.0,0.474,1.0,6.0,3.0,3.0,11.0,6.0,2.0,0.0,2.0,22.0,19.0,5.0
216,2016-05-02,W,11.0,21.0,0.524,2.0,4.0,1.0,1.0,7.0,9.0,5.0,1.0,4.0,25.0,23.6,16.0
217,2016-05-04,W,9.0,15.0,0.6,4.0,6.0,5.0,9.0,4.0,5.0,3.0,0.0,2.0,27.0,22.6,24.0
218,2016-05-06,W,8.0,16.0,0.5,1.0,4.0,7.0,9.0,13.0,8.0,2.0,0.0,5.0,24.0,21.7,17.0
219,2016-05-08,W,10.0,23.0,0.435,1.0,5.0,0.0,3.0,10.0,9.0,2.0,1.0,6.0,21.0,14.9,2.0
221,2016-05-17,W,11.0,13.0,0.846,0.0,1.0,2.0,4.0,6.0,4.0,2.0,1.0,4.0,24.0,21.4,20.0
