,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
158,1996-05-25,W,5.0,14.0,0.35700000000000004,1.0,1.0,6.0,11.0,7.0,4.0,2.0,1.0,2.0,17.0,13.6
159,1996-05-27,W,16.0,23.0,0.696,3.0,4.0,10.0,14.0,3.0,5.0,1.0,1.0,4.0,45.0,34.6
161,1996-06-05,W,9.0,18.0,0.5,1.0,4.0,9.0,10.0,7.0,2.0,2.0,1.0,2.0,28.0,21.2
162,1996-06-07,W,9.0,22.0,0.409,1.0,2.0,10.0,16.0,6.0,8.0,2.0,0.0,2.0,29.0,21.8
163,1996-06-09,W,11.0,23.0,0.478,3.0,4.0,11.0,11.0,3.0,5.0,2.0,0.0,3.0,36.0,28.1
164,1996-06-12,L,6.0,19.0,0.316,0.0,2.0,11.0,13.0,3.0,2.0,1.0,0.0,4.0,23.0,9.8
165,1996-06-14,L,11.0,22.0,0.5,0.0,4.0,4.0,5.0,4.0,1.0,1.0,0.0,2.0,26.0,15.1
166,1996-06-16,W,5.0,19.0,0.263,1.0,3.0,11.0,12.0,9.0,7.0,2.0,0.0,5.0,22.0,14.9
168,1997-04-25,W,12.0,25.0,0.48,0.0,1.0,5.0,5.0,8.0,8.0,2.0,0.0,3.0,29.0,21.3
169,1997-04-27,W,22.0,35.0,0.629,1.0,2.0,10.0,10.0,7.0,2.0,2.0,0.0,2.0,55.0,42.8
170,1997-04-30,W,14.0,24.0,0.583,0.0,5.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,28.0,19.9
172,1997-05-06,W,13.0,25.0,0.52,1.0,3.0,7.0,10.0,11.0,6.0,4.0,3.0,3.0,34.0,31.1
173,1997-05-08,L,12.0,29.0,0.414,0.0,6.0,3.0,3.0,16.0,6.0,0.0,1.0,1.0,27.0,21.8
174,1997-05-10,W,8.0,20.0,0.4,0.0,1.0,5.0,5.0,9.0,3.0,2.0,2.0,5.0,21.0,13.4
175,1997-05-11,W,12.0,22.0,0.545,0.0,2.0,3.0,5.0,8.0,4.0,2.0,1.0,5.0,27.0,18.9
176,1997-05-13,W,9.0,23.0,0.391,1.0,5.0,5.0,5.0,7.0,7.0,2.0,0.0,2.0,24.0,19.3
178,1997-05-20,W,15.0,31.0,0.484,0.0,2.0,7.0,10.0,9.0,3.0,1.0,1.0,2.0,37.0,24.6
179,1997-05-22,W,4.0,15.0,0.267,0.0,1.0,15.0,16.0,9.0,3.0,4.0,1.0,2.0,23.0,21.6
180,1997-05-24,W,14.0,25.0,0.56,1.0,2.0,5.0,5.0,8.0,1.0,1.0,0.0,3.0,34.0,23.2
181,1997-05-26,L,9.0,35.0,0.257,0.0,8.0,11.0,13.0,8.0,1.0,1.0,0.0,2.0,29.0,10.2
182,1997-05-28,W,11.0,31.0,0.355,1.0,4.0,5.0,6.0,6.0,5.0,2.0,2.0,4.0,28.0,13.8
184,1997-06-01,W,13.0,27.0,0.48100000000000004,0.0,0.0,5.0,7.0,4.0,8.0,0.0,1.0,0.0,31.0,23.2
185,1997-06-04,W,11.0,20.0,0.55,1.0,2.0,15.0,21.0,13.0,9.0,2.0,0.0,5.0,38.0,34.0
186,1997-06-06,L,9.0,22.0,0.409,4.0,10.0,4.0,5.0,3.0,6.0,1.0,2.0,1.0,26.0,19.9
187,1997-06-08,L,11.0,27.0,0.40700000000000003,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,22.0,7.7
188,1997-06-11,W,13.0,27.0,0.48100000000000004,2.0,5.0,10.0,12.0,7.0,5.0,3.0,1.0,3.0,38.0,29.4
189,1997-06-13,W,15.0,35.0,0.429,1.0,4.0,8.0,10.0,11.0,4.0,1.0,1.0,1.0,39.0,26.1
191,1998-04-24,W,11.0,27.0,0.40700000000000003,0.0,2.0,17.0,23.0,7.0,3.0,1.0,1.0,3.0,39.0,24.6
192,1998-04-26,W,9.0,19.0,0.474,0.0,0.0,14.0,17.0,4.0,2.0,1.0,1.0,5.0,32.0,20.0
193,1998-04-29,W,16.0,22.0,0.727,2.0,2.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,38.0,32.6
195,1998-05-03,W,11.0,26.0,0.423,1.0,3.0,12.0,14.0,11.0,4.0,1.0,1.0,3.0,35.0,26.8
196,1998-05-06,L,10.0,21.0,0.47600000000000003,0.0,3.0,2.0,3.0,5.0,6.0,0.0,0.0,0.0,22.0,16.2
